Наименование;Производитель ;Цена;Ссылка
Набор 1 уп. КЕТАНОВ 0,01 N100 ТАБЛ + 1 уп. НЕОТРАВИСИЛ РАСТИТЕЛЬНЫЕ ПАСТИЛКИ Мед-Лимон N24;NoData;383;/product/6163f164a400d291138c7106/
ХОНДРОИТИНА СУЛЬФАТ;ФКП  Курская Биофабрика -фирма Биок ;519;/product/xondroitina-sulfat-01-n10-amp-liofil-dr-ra-vm-5e326570ca7bdc000192b4f8/
НИМЕСУЛИД;АВВА РУС АО ;35;/product/nimesulid-01-n10-tablavva-rus-5e3269e5ca7bdc000192d963/
НИМЕСУЛИД-ЛЕКТ;Тюменский  ХФЗ ОАО ;53;/product/nimesulid-lekt-01-n20-tabl-5e326e4265b5ab000165408b/
ЗОЛЕДРОНОВАЯ КИСЛОТА;БЕЛМЕДПРЕПАРАТЫ, РУП ;2 065;/product/zoledronovaya-kislota-0004-n1-flak-liofilizat-dkoncz-r-ra-dinfbelmedpreparaty-5fbd0ce590bcf20001892054/
КЕТАНОВ;Сан Фармасьютикал Индастриз Лтд ;58;/product/ketanov-001-n20-tabl-pplenoboloch-5e3265ae65b5ab000164fb77/
ТЕКСАРЕД;Мустафа Невзат Илач Санаи А.Ш. ;380;/product/teksared-002-n10-tabl-pplenoboloch-5e3267b0ca7bdc000192c855/
"Набор при боли в спине ""Купирование боли и интенсивное восстановление"": Тералив N24 таб и Терафлекс Плюс N120";NoData;2 262;/product/61726c72445cf3caf2ce2b6e/
ИНЪЕКТРАН;Эллара ООО ;1 452;/product/inektran-01ml-2ml-n10-amp-r-r-vm-5e3276c5f5a9ae000140f182/
РУМАЛОН;К.О.Ромфарм Компани С.Р.Л. ;1 724;/product/rumalon-1ml-n10-amp-r-r-vm-5e3273ebca7bdc00019322c7/
КСЕФОКАМ;Вассербургер Арцнеймиттельверк ГмбХ / Такеда Австрия ГмбХ ;741;/product/ksefokam-0008-n5-liofil-dr-ra-vv-vm-flak-vmestimostyu-6ml-60b887e6477e11a004b89fef/
ПЕНТАЛГИН ЭКСТРА-ГЕЛЬ;ЛЕККО  ЗАО ;250;/product/pentalgin-ekstra-gel-5-300-gel-dnaruzh-prim-5e327822ca7bdc000193491a/
ТОЛПЕРИЗОН-OBL 0,15 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ;Алиум АО ;230;/product/tolperizon-obl-015-n30-tabl-pplenoboloch-6166a5873d50e4f35bddee09/
Набор  ТЕРАФЛЕКС ХОНДРОКРЕМ ФОРТЕ 1%+5% 100,0 КРЕМ закажите со скидкой на вторую упаковку!;Нижфарм АО ;832;/product/618e52c701429cfbd95f0a7f/
МЕЛОКСИКАМ;Биохимик АО ;203;/product/meloksikam-001ml-15ml-n5-amp-r-r-vm-bioximik-5f800d055a54330001ffcf2e/
ХЛОРГЕКСИДИНА БИГЛЮКОНАТ;Ивановская фармацевтическая фабрика ОАО ;15;/product/xlorgeksidina-biglyukonat-005-100ml-flak-r-r-dmest-prim-dnaruzh-prim-iff-5eb2840a5e9c990001b72d8d/
КЛОТРИМАЗОЛ;Муромский приборостроительный завод ,АО ;52;/product/klotrimazol-1-150-maz-dnaruzh-primmpz-5e326b3ef5a9ae0001409af6/
ПЕРЕКИСЬ ВОДОРОДА;Лекарь, ООО ;23;/product/perekis-vodoroda-3-200ml-flak-r-r-dmest-naruzh-primlekar-5e32696965b5ab0001651b96/
ТЕРБИНАФИН;Биосинтез ПАО ;50;/product/terbinafin-1-150-krem-biosintez-5e326424ca7bdc000192ae5c/
МЕНОВАЗИН-ЭКОЛАБ;ЭКОлаб ЗАО ;74;/product/menovazin-ekolab-50ml-r-r-dnaruzh-prim-spirt-flak-petfknopochnyj-raspylitel-6062daa25e7873d5acad60d9/
ЭФФЕЗЕЛ;Лаборатории Галдерма ;1 512;/product/effezel-00010025g-300-gel-5e3277d065b5ab0001658a90/
МЕТИЛУРАЦИЛ;Татхимфармпрепараты АО ;45;/product/metiluraczil-10-250-maztatximfarm-5e326cf165b5ab0001653654/
ХЛОРГЕКСИДИНА БИГЛЮКОНАТ;Тульская фармацевтическая фабрика ООО ;13;/product/xlorgeksidina-biglyukonat-005-100ml-flakkap-r-r-5e3277cfca7bdc000193453c/
СИНАФЛАН;Муромский приборостроительный завод ,АО ;33;/product/sinaflan-0025-100-maz-5e32660af5a9ae0001406f56/
КСАМИОЛ;Лео Лэбораторис Лимитед ;1 193;/product/ksamiol-150-gel-dlya-naruzhnogo-primeneniya-5e326f56f5a9ae000140bcf5/
ПЕРЕКИСЬ ВОДОРОДА;ЙОДНЫЕ ТЕХНОЛОГИИ И МАРКЕТИНГ, ООО ;7;/product/perekis-vodoroda-3-100ml-flak-r-r-dmestprim-jtm-5e326fc6f5a9ae000140c040/
ПИМАФУЦИН;Теммлер Италиа С.р.Л ;256;/product/pimafuczin-01-n3-supp-vag-5e32762365b5ab0001657b7c/
ЛЕВОМЕТИЛ;Зеленая Дубрава ЗАО ;35;/product/levometil-300-maz-5e3277a9ca7bdc00019343ed/
СТЕЛЛАНИН;Фармпрепарат,ООО ;364;/product/stellanin-3-200-maz-5e3279a8f5a9ae0001410c26/
ОКСИКОРТ;Тархоминский фармацевтический завод  Польфа АО ;411;/product/oksikort-55ml-aerozol-dnar-prim-5e3270eeca7bdc000193109f/
ТЕРБИНАФИН-МФФ;Московская фармацевтическая фабрика ЗАО ;112;/product/terbinafin-mff-025-n10-tabl-5e326c52f5a9ae000140a4a6/
РЕВАСИЛ;Алтайвитамины, АО ;317;/product/revasil-2-50ml-sprej-dnaruzh-ballon-s-nasos-mexan-i-nasad-raspylit-5ef1b77f23341a0001d2550f/
ЭПИГЕН ИНТИМ;Б.Браун Медикал С.А. ;1 388;/product/epigen-intim-01-15ml-sprej-5e326af9f5a9ae00014098fe/
ПРОПОЛИСА НАСТОЙКА;ТВЕРСКАЯ ФАРМАЧЕВТИЧЕСКАЯ ФАБРИКА ОАО ;55;/product/propolisa-nastojka-25ml-n-ka-ding-mest-naruzh-prim-tverskaya-ff-5e4be2e1358791000118ef0b/
ПРОПОЛИСА НАСТОЙКА;Ивановская фармацевтическая фабрика ОАО ;37;/product/propolisa-nastojka-25ml-indupiff-5e32714065b5ab00016558b8/
ТЕРБИКС;Алтайвитамины АО ;107;/product/terbiks-terbinafin-1-300-sprej-6017b6fc073656943af571d2/
НАФТИФИН;ЮжФарм, ООО ;295;/product/naftifin-1-10ml-flak-r-r-dnaruzh-primyuzhfarm-603df690ab1bda20d7d0f4ed/
ФУРАЦИЛИН АВЕКСИМА;ИРБИТСКИЙ ХИМФАРМЗАВОД, ОАО ;106;/product/furaczilin-aveksima--002-n10-tabl-ship-dr-ra-5e326de7f5a9ae000140af8c/
Набор из 1 уп. АДАКЛИН 0,1% 30,0 КРЕМ и 1 уп. АЗИКС-ДЕРМ 20% 30,0 КРЕМ;NoData;1 159;/product/615fdc8b4e3c5defa551cb2f/
ЛОКОИД ЛИПОКРЕМ;Теммлер Италиа С.р.Л ;299;/product/lokoid-lipokrem-01-300-krem-5e3277bbf5a9ae000140fb1e/
Набор 1 уп.  ТЕРБИНАФИН КАНОН 0,25 N28 ТАБЛ и 1 уп. ТЕРБИНАФИН КАНОН 1% 15,0 ГЕЛЬ Д/НАРУЖ ПРИМ по специальной цене;NoData;354;/product/617ba1ec913d995c2d9a0537/
ЙОД;Московская фармацевтическая фабрика ЗАО ;35;/product/jod-5-10ml-flak-r-r-dnaruzh-prim-spirtovojs-lopatkoj-indupmff-61530373244c0afddb4a8a09/
КЛЕЙ БФ-6;Муромский приборостроительный завод ,АО ;42;/product/klej-bf-6-100-5e32660a65b5ab000164fdf2/
ПАНТЕНОЛ;Зеленая Дубрава, ЗАО ;68;/product/pantenol-5-250-maz-dnaruzh-prim-5e327821ca7bdc0001934918/
СОЛАНТРА;Лаборатории Галдерма ;1 462;/product/solantra-1-300-krem-dnaruzh-primeneniya-5e3274f5f5a9ae000140e2d4/
Набор из 1 уп. сотрет 0,01 n30 капс и 1 уп. азикс-дерм 20% 30,0 крем по спец. цене;NoData;1 870;/product/613b36f58e13203daf1b60b6/
ОНИХЕЛП;Шанелл Медикал/БЕЛУПО, лекарства и косметика д. д. ;813;/product/onixelp-5-25-ml-flak-lak-dnogtej-5e32719b65b5ab0001655afa/
КАНДИД ДЛЯ МЕСТНОГО ПРИМЕНЕНИЯ (В ПОЛОСТИ РТА);Гленмарк Фармасьютикалз Лтд ;420;/product/kandid-1-15ml-flakkap-r-r-dmest-primeneniya-5e3266c365b5ab0001650533/
ЭТРИВЕКС;Лаборатории Галдерма ;1 161;/product/etriveks-005-60ml-flak-shampun-5e327a0f65b5ab0001659e70/
СТЕЛЛАНИН-ПЭГ;Фармпрепарат,ООО ;375;/product/stellanin-peg-3-200-maz-5e3279a8f5a9ae0001410c1f/
ГИДРОКОРТИЗОН;Нижфарм АО ;32;/product/gidrokortizon-1-100-maz-nizhfarm-5e326bccf5a9ae000140a043/
КЛЕЙ БФ-6;Тульская фармацевтическая фабрика ООО ;47;/product/klej-bf-6-150-tulskaya-ff-5e327663f5a9ae000140ef15/
СИНАФЛАН;Алтайвитамины АО ;34;/product/sinaflan-0025-100-maz-dnaruzh-prim-altajvitam-601cf088cf1b18d3f626dc3f/
НАБОР при дерматите КОМФОДЕРМ 0,1% 30,0 МАЗЬ + SENSADERM КРЕМ СПЕЦИАЛЬНЫЙ 75МЛ закажи со скидкой 25%;SENSADERM ;735;/product/617c1fc23b73650c2c295290/
МИРАМИСТИН;ИНФАМЕД  К,ООО ;218;/product/miramistin-001-50ml-flak-r-r-5e326d9cca7bdc000192f66f/
САЛИЦИЛОВАЯ К-ТА;Ивановская фармацевтическая фабрика ОАО ;16;/product/saliczilovaya-k-ta-2-40ml-r-r-dnarprimspirtiff-5e32713b65b5ab000165589a/
САЛИЦИЛОВАЯ;Тульская фармацевтическая фабрика ООО ;25;/product/saliczilovaya-2-250-maz-5e32773365b5ab0001658506/
ТЕРБИНАФИН;ВИПС-МЕД ФИРМА ООО ;137;/product/terbinafin-1-200-sprej-dnaruzh-prim-5e32690165b5ab0001651928/
АЗИКС-ДЕРМ;Сан Фармасьютикал Индастриз Лтд ;661;/product/aziks-derm-20-300-krem-5e327541ca7bdc0001932e59/
ЦИНОКАП;ЛЕККО  ЗАО ;432;/product/czinokap-02-250-krem-5e327595ca7bdc00019330bb/
МЕСТАМИДИН-СЕНС;Гротекс ООО ;535;/product/mestamidin-sens-150ml-rastvor-dlya-mestnogo-i-naruzhnogo-primeneniya-flakon-s-raspylyayushhej-nasadkoj-so-skladyvayushhejsya-kanyulej-sprej-5e3276caca7bdc0001933b10/
ВЕРРУКАЦИД;РЕТИНОИДЫ, АО ФНПП ;237;/product/verrukaczid-20-r-r-dnaruzh-5e32699af5a9ae0001408e08/
МЕТИЛУРАЦИЛ;Нижфарм АО ;99;/product/metiluraczil-10-250-maz-nizhfarm-5e326bcdf5a9ae000140a04d/
КЛЕНЗИТ;Гленмарк Фармасьютикалз Лтд ;513;/product/klenzit-01-150-gel-5e326bdeca7bdc000192ea37/
СИНТОМИЦИНА;Зеленая Дубрава ЗАО ;48;/product/sintomiczina-10-250-linimentzelenaya-dubrava-5e32761d65b5ab0001657b48/
КОЛЛОМАК;Октобер Фарма С.А.Е. ;337;/product/kollomak-10ml-r-r-dnaruzh-prim-5e32774565b5ab00016585aa/
СТРЕПТОЦИД;Биосинтез ПАО ;64;/product/streptoczid-10-250-mazbiosintez-5e32784b65b5ab0001658f71/
СКИН-КАП;Б.Браун Медикал С.А. ;1 249;/product/skin-kap-02-150-krem-5e326c10f5a9ae000140a2d4/
НАБОР СЕЛЕКТРА 0,01 N56 ТАБЛ П/ПЛЕН/ОБОЛОЧ закажи 2 упаковки со скидкой 20%;Актавис Лтд ;3 120;/product/615eb00626062cc61774d38b/
ВАЛЬДОКСАН;СЕРВЬЕ РУС ООО ;1 564;/product/valdoksan-0025-n28-tabl-pplenoboloch-5e32680e65b5ab0001651037/
ЦЕРАКСОН 0,1/МЛ 30МЛ ФЛАК Р-Р+ШПРИЦ-ДОЗАТОР;Феррер Интернасьональ С.А. ;717;/product/czerakson-01ml-30ml-flak-r-rshpricz-dozator-5e326d33f5a9ae000140a967/
АТАРАКС;ЮСБ Фарма С.А. ;119;/product/ataraks-0025-n25-tabl-pplenoboloch-5e3274b1f5a9ae000140e089/
НАБОР ТЕРАФЛЮ N10 ПАК ПОР Д/Р-РА Д/ПРИЕМА ВНУТРЬ/ЛЕС ЯГОДЫ + ОТРИВИН МЕНТОЛ/ЭВКАЛИПТ 0,1% 10МЛ НАЗ СПРЕЙ закажи со скидкой 15%;NoData;486;/product/6061a86941726949bebf1ccd/
Набор Аскофен-П №20 от боли и жара - 2 уп. со скидкой 10%;Фармстандарт-Лексредства ОАО ;158;/product/617b73307b4b7dd816b5bcaa/
АСКОФЕН-П;Фармстандарт-Лексредства ОАО ;88;/product/askofen-p-n20-tabl-5e3263fb65b5ab000164f2a2/
ВАЛЕМИДИН;Агроветзащита НВЦ С-П.,ООО/ Фармамед, ООО ;149;/product/valemidin-25ml-flak-kapli-dpriema-vnutr-spirtovye-5e3275a4f5a9ae000140e7c3/
МЕЛАДАПТ;ОЗОН ООО ;183;/product/meladapt-0003-n10-tabl-pplenoboloch-5f5f4fe6ff240700014077a1/
Комплексный набор Пенталгин + Компливит Кальций Д3 для заботы о суставах - со скидкой 20%;NoData;988;/product/617b8c490d371477db646560/
НАБОР НОБЕН 0,03 N30 КАПС/БИННОФАРМ закажи 2 упаковки со скидкой 10%;Биннофарм, АО ;988;/product/61815e3852352e6ed6a2b24f/
НОБЕН;Биннофарм, АО ;549;/product/noben-003-n30-kapsbinnofarm-5e327765f5a9ae000140f80a/
МЕКСИДОЛ;ЗиО-Здоровье, ЗАО ;248;/product/meksidol-0125-n30-tabl-pplenoboloch-5e326f03ca7bdc00019303b6/
ГЛИАТИЛИН;Мифарм С.п.А. ;703;/product/gliatilin-067ml-7ml-n10-flak-r-r-dpriema-vnutr-5e32646bca7bdc000192b019/
СЕЛЕКТРА;Актавис Лтд ;1 053;/product/selektra-001-n28-tabl-pplenoboloch-5e32760765b5ab0001657a81/
ЦИТРАМОН П МЕДИСОРБ;Медисорб, АО ;44;/product/czitramon-p-medisorb-n30-tabl-5e326e2065b5ab0001653f97/
ДИБУФЕЛОН;ПИК-ФАРМА ЛЕК, ООО ;1 685;/product/dibufelon-02-n50-kaps-5ffc42d736720ad674da720c/
НАБОР ТЕРАФЛЮ ОТ ГРИППА И ПРОСТУДЫ N10 ПАК ПОР Д/Р-РА Д/ПРИЕМА ВНУТРЬ/ЛИМОН закажи со скидкой 20% на вторую упаковку;ТЕРАФЛЮ ;691;/product/617c41f5534710e40b139593/
ЦИТРАМОН П;УРАЛБИОФАРМ ОАО ;38;/product/czitramon-p-n20-tablubf-5e3269cbf5a9ae0001408f5e/
ПРОНОРАН;СЕРВЬЕ РУС ООО ;383;/product/pronoran-005-n30-tabl-s-kontrol-vysvob-po-5e3267c9f5a9ae0001407fb4/
ГЛИЦИН;БИОТИКИ МНПК ООО ;37;/product/gliczin-01-n50-tabl-podyazych-biotiki-5e3268b2f5a9ae00014087f2/
НООФЕН;Олайнфарм АО ;1 005;/product/noofen-025-n20-kaps-5e3263c165b5ab000164f095/
НООЦИЛ;ОЗОН ООО ;1 155;/product/nooczil-01ml-10ml-n3-flak-r-r-dpriema-vnutr-5f33f065696753000197031d/
ФЕВАРИН;Майлан Лэбораториз САС ;849;/product/fevarin-005-n15-tabl-pplenoboloch-5e32757df5a9ae000140e6a9/
ПК-МЕРЦ;Клоке Фарма-Сервис ГмбХ/ Мерц Фарма ГмбХ и Ко.КГаА ;261;/product/pk-mercz-01-n30-tabl-pplenoboloch-5e327555ca7bdc0001932ef0/
Набор Максиколд Рино Лимон №10  + Максиколд Лор таблетки от боли в горле - по специальной цене;Фармстандарт-Лексредства ОАО ;452;/product/617b7a9c1460ccda065b59f9/
Комплексный набор От всех видов боли  - со скидкой 20%;NoData;723;/product/617b8a4a946523fb511f76c1/
КОРВАЛОЛ;Фармстандарт-Лексредства ОАО ;46;/product/korvalol-25ml-kapli-indup-5e3264f7ca7bdc000192b30b/
ГЛИАТИЛИН;Каталент Италия С.П.А./ФАРМАКОР ПРОДАКШН ООО ;721;/product/gliatilin-04-n14-kaps-6065c64eba03b29dc74639f8/
БЕНЗИЭЛЬ;Канонфарма продакшн, ЗАО ;503;/product/benziel-010025-n100-tabl-5f69b36e59de9a0001f4e13e/
СЕДАЛИТ;Фармстандарт-Лексредства ОАО ;240;/product/sedalit-03-n50-tabl-pplenoboloch-5e326ae0f5a9ae0001409843/
ГИПОКСЕН;Корпорация Олифен, ЗАО ;680;/product/gipoksen-025-n30-kaps-5e3264cc65b5ab000164f690/
Набор ЗВЕЗДОЧКА НОЗ спрей назальный 15мл и ЗВЕЗДОЧКА ФЛЮ порошок для приема внутрь (малина);ЗВЕЗДОЧКА ;224;/product/612efba1752a139d973adf0a/
НИКОРЕТТЕ 0,001/ДОЗА 13,2МЛ 150ДОЗ N2 ФЛАК СПРЕЙ Д/СЛИЗ РТА ДОЗ МЯТНЫЙ;МакНил АБ ;1 889;/product/nikorette-0001doza-132ml-150doz-n2-flak-sprej-dsliz-rta-doz-myatnyj-5e3265bd65b5ab000164fbb4/
Набор Максиколд Рино Малина №10  + Максиколд Лор таблетки от боли в горле - по специальной цене;Фармстандарт-Лексредства ОАО ;459;/product/608c0d128a6fc6536f55f10a/
Набор ЗВЕЗДОЧКА НОЗ спрей назальный 15мл и ЗВЕЗДОЧКА ФЛЮ порошок для приема внутрь (лимон);ЗВЕЗДОЧКА ;223;/product/612efb835f612424b19bf610/
АКАТИНОЛ МЕМАНТИН;Роттендорф Фарма ГмбХ/Мерц Фарма ГмбХ и Ко.КГаА ;1 680;/product/akatinol-memantin-00050010015002n28-tabl-pplenoboloch-5e32759165b5ab00016575e7/
ОТ ГРИППА И ПРОСТУДЫ ПОРОШОК СО ВКУСОМ ЛИМОНА;ТЕРАФЛЮ ;202;/product/teraflyu-ot-grippa-i-prostudy-n4-paketika-poroshok-dlya-prigotovleniya-rastvora-dlya-priema-vnutr-limonnyj-611f2a9fb63db1daf61c2921/
ФЕНИБУТ;БЕЛМЕДПРЕПАРАТЫ, РУП ;58;/product/fenibut-025-n10-tabl-5e326e7065b5ab00016541f9/
ФЕНИБУТ;Усолье-Сибирский химфармзавод АО ;76;/product/fenibut-025-n10-tablusole-sibirskij-xfz-5f22aaa4061109000175ad8d/
МЕКСИДОЛ ФОРТЕ 250;ЗиО-Здоровье, ЗАО ;683;/product/meksidol-forte-250-025-n40-tabl-pplenoboloch-5e3265dff5a9ae0001406ddb/
ГЛИЦИН ФОРТЕ;Канонфарма продакшн, ЗАО ;36;/product/gliczin-forte-025-n30-tabl-zashhech-5e327a0cf5a9ae0001410f8d/
ГЛИАТИЛИН;Италфармако С.п.А./Фармакор Продакшн, ООО ;603;/product/gliatilin-104ml-n3-amp-r-r-vv-vm-5e326a6aca7bdc000192dd6e/
Набор ЗВЕЗДОЧКА НОЗ спрей назальный 15мл и ЗВЕЗДОЧКА ФЛЮ порошок для приема внутрь (апельсин);Данафа Фармасьютикал Джойнт Сток Компани ;226;/product/612efb4b063453df71c442b2/
Набор 1 уп. КОЛДАКТ ФЛЮ ПЛЮС N10 КАПС ПРОЛОНГ + 1 уп. НЕОТРАВИСИЛ РАСТИТЕЛЬНЫЕ ПАСТИЛКИ Мед-Лимон N24;NoData;372;/product/6163f0f7052570656a9795cc/
НАБОР ТЕРАФЛЮ N10 ПАК ПОР Д/Р-РА Д/ПРИЕМА ВНУТРЬ/ЛЕС ЯГОДЫ закажи со скидкой 20% на вторую упаковку;ТЕРАФЛЮ ;691;/product/617c412c9f6818a317e08a2a/
ПОРОШОК ДЛЯ ПРИГОТОВЛЕНИЯ РАСТВОРА ДЛЯ ПРИЕМА ВНУТРЬ ЛЕСНЫЕ ЯГОДЫ;ТЕРАФЛЮ ;384;/product/teraflyu-n10-paketikov-poroshok-dlya-prigotovleniya-rastvora-dlya-priema-vnutr-lesnye-yagody-5e326a07f5a9ae0001409101/
Комплексный набор Лечение простуды, гриппа и ОРВИ у взрослых  - со скидкой 20%;NoData;1 676;/product/617b88375241ebecac56d37d/
МАГНЕЛИС В6;Фармстандарт-Уфимский витаминный завод,ОАО ;381;/product/magnelis-v6-00480005-n50-tabl-pplenobolochblister-5e3272d9f5a9ae000140d47b/
АСКОРБИНОВАЯ КИСЛОТА;Алтайвитамины АО ;27;/product/askorbinovaya-kislota-005-n200-drazhe-altajvitaminy-5f3101702fc03e00014bdb70/
ФОРСИГА;АстраЗенека Индастриз ООО ;2 371;/product/forsiga--001-n30-tabl-po-60225e225951531e57b78e31/
БИФИФОРМ;БИФИФОРМ ;562;/product/bifiform-n30-kapsuly-kishechnorastvorimye-5e327520ca7bdc0001932d75/
Набор Компливит Сияние + Кальций Д3 - по выгодной цене;КОМПЛИВИТ ;868;/product/617b7e9aed7bee935d3fbb78/
РЕДУКСИН ФОРТЕ;Биохимик АО ;2 188;/product/reduksin-forte-085001-n30-tabl-pplenoboloch-5e32703165b5ab000165502f/
ТРЕКРЕЗАН;Канонфарма продакшн, ЗАО ;562;/product/trekrezan-02-n10-tabl-5ebe361a4662be0001ae5ee6/
Комплексный набор Лечение ОРВИ у детей от 2 лет - со скидкой 20%;NoData;897;/product/617b8f8f964f5c239bed740c/
ТРЕКРЕЗАН;Фармпроект АО ;562;/product/trekrezan-02-n10-tabl-61039418bf01c12dca2d9838/
ВИГАНТОЛ;Лузомедикамента Сосьедаде Текника Фармасеутика, С.А. ;183;/product/vigantol-05mgml-10ml-flak-kapli-dpriema-vnutr-maslyanye-6037a3e0aa01cbc977301f6d/
КОМПЛИВИТ ТАБЛЕТКИ;КОМПЛИВИТ ;216;/product/komplivit-s-ponizh-soderzh-saxara-n60-tabl-pplenoboloch-5e326ac265b5ab00016525e0/
НАБОР ДЮФАЛАК 0,667/МЛ 500МЛ ФЛАК СИРОП СО СЛИВОВЫМ ВКУСОМ + ДЮФАЛАК 0,667/МЛ 500МЛ ФЛАК СИРОП закажи со скидкой 12%;NoData;784;/product/61815baff6460772b3a88dee/
Комплексный набор Укрепление иммунитета малыша  - со скидкой 20%;NoData;964;/product/617b8dca0d371477db6469e2/
НАБОР ДЮСПАТАЛИН 0,2 N30 КАПС ПРОЛОНГ закажи 2 упаковки со скидкой 15%;NoData;926;/product/61815b46747f967076b7f47c/
Набор ГЕПТОР 0,4 N40 ТАБЛ из 2-х упаковок со скидкой;Верофарм АО ;3 180;/product/6178def91d7f084f43ab3ba3/
ЛАКТОФИЛЬТРУМ;АВВА РУС АО ;327;/product/laktofiltrum-n30-tabl-5e32763af5a9ae000140edbe/
Набор Кальций для малышей и витамин Д3 для всей семьи от КОМПЛИВИТ - по выгодной цене;КОМПЛИВИТ ;494;/product/615557415f1729d78309f669/
Набор Витамины для женщин и кальций от Компливит – выгодное предложение;КОМПЛИВИТ ;651;/product/617b7d28620db280fbfb780b/
РЕВИТ;Фармстандарт-УфаВИТА ОАО ;57;/product/revit-n100-drazhe-5e32731dca7bdc0001931f7d/
ГЕПТРАЛ;ЭббВи С.р.Л. ;2 180;/product/geptral-05-n20-tabl-pkishechnorastvoroboloch-5e327871ca7bdc0001934b3c/
МЕЗАВАНТ;Космо С.п.А. ;4 095;/product/mezavant-12-n60-tabl-prolong-pkishech-rastvoboloch-5e32797cca7bdc000193541b/
ГАЛВУС МЕТ;Новартис Нева, ООО ;755;/product/galvus-met-00505-n30-tabl-pplenoboloch-5e326a21f5a9ae00014091ad/
МАГНЕ В6 N100 ТАБЛ П/О;МАГНЕ B6 ;701;/product/magne-v6-n100-tabl-po-5e326447f5a9ae00014065fa/
Набор из 3 уп.по цене 2х  - Витамины для женщин Компливит 45+;КОМПЛИВИТ ;766;/product/617b70516529854f305c9487/
ДЛЯ ЖЕНЩИН 45 ПЛЮС;КОМПЛИВИТ ;383;/product/komplivit-45-plyus-dzhenshhin-n30-tabl-pplenoboloch-5e3272edca7bdc0001931ea0/
ГЕПА-МЕРЦ;Клоке Фарма-Сервис ГмбХ/ Мерц Фарма ГмбХ и Ко.КГаА ;794;/product/gepa-mercz-3050-n10-pak-granuly-dr-ra-5e3276cdf5a9ae000140f1c7/
ЛАРИГАМА;Гротекс ООО ;242;/product/larigama-2ml-n10-amp-r-r-vm-5e3269ac65b5ab0001651d3e/
Комплексный набор Пенталгин + Компливит Кальций Д3 для заботы о суставах - со скидкой 20%;NoData;988;/product/617b8c490d371477db646560/
МОВИПРЕП;Норджин Лимитед ;830;/product/moviprep-por-dprigot-r-ra-dpriema-vnutr-sashe-a-n2sashe-b-n2-5e32717af5a9ae000140cbd7/
АЦИПОЛ;ЛЕККО  ЗАО ;369;/product/aczipol-n30-kaps-5e326be165b5ab0001652fa7/
ЭССЕНЦИАЛЕ ФОРТЕ Н 0,3 N90 КАПС;А.Наттерманн энд Сие ГмбХ ;1 401;/product/essencziale-forte-n-03-n90-kaps-5e3274f4f5a9ae000140e2c5/
МИЛЬГАММА;Солюфарм Фармацойтише Эрцойгниссе ГмбХ ;594;/product/milgamma-2ml-n10-amp-r-r-vm-5e3279a9f5a9ae0001410c29/
БЕРОККА ПЛЮС;Делфарм Гайярд ;761;/product/berokka-plyus-n30-tabl-ship-so-vkusom-apelsina-5e327355ca7bdc00019320b1/
ФОСФАЛЮГЕЛЬ;Фарматис ;437;/product/fosfalyugel-160-n20-pak-5e326d52ca7bdc000192f3e8/
РЕМАКСОЛ;ПОЛИСАН НТФФ, ООО ;1 968;/product/remaksol-400ml-n5-kontejner-r-r-dinf-5f9ab58ff069210001de0050/
ФОСФОГЛИВ;Фармстандарт-Лексредства ОАО ;547;/product/fosfogliv-n50-kaps-5e326c02ca7bdc000192ebb7/
АСКОРБИНОВАЯ К-ТА С ГЛЮКОЗОЙ;Фармстандарт-Уфимский витаминный завод,ОАО ;58;/product/askorbinovaya-k-ta-s-glyukozoj-01-n40-tabl-5e3270c165b5ab000165545a/
ДЮСПАТАЛИН;Верофарм АО ;545;/product/dyuspatalin-02-n30-kaps-prolong-5e327a93f5a9ae000141129b/
ЛИПОЕВАЯ КИСЛОТА;МАРБИОФАРМ ОАО ;217;/product/lipoevaya-kislota-03-n30-kaps-5e327447ca7bdc00019324f7/
ПОЛИСОРБ МП;Полисорб АО ;116;/product/polisorb-mp-120-por-dsusp-5e326bd9ca7bdc000192ea08/
10000;КРЕОН ;307;/product/kreon-10000-10000ed-n20-kaps-kishechnorastvor-5e326dce65b5ab0001653d58/
ТРИМЕДАТ ФОРТЕ;ТРИМЕДАТ ;566;/product/trimedat-forte-03-n20-tabl-prolong-vysvob-pplenoboloch-5e326e22f5a9ae000140b0fe/
ПАНКРЕАТИН;Фармпроект АО ;50;/product/pankreatin-30ed-n60-tabl-pkishechobolochfl-farmproekt-5e326d6bca7bdc000192f4a3/
Набор из 1 уп МЕТЕОСПАЗМИЛ 0,06/0,3 N30 КАПС и 1 уп ХОФИТОЛ N180 ТАБЛ П/О по специальной цене;NoData;1 093;/product/6188bce9cd3993c46ced2e56/
Набор  КАЛЬЦЕМИН АДВАНС N60 ТАБЛ П/ПЛЕН/ОБОЛОЧ закажите со скидкой на вторую упаковку!;NoData;1 096;/product/618e50b306415c0dc0eb162b/
КОКАРНИТ;Е.И.П.И.Ко ;497;/product/kokarnit-0187125-n3-amp-liofil-dr-ra-vmr-l-2ml-n3-amp-5e326c4265b5ab00016532e2/
ФЕСТАЛ N40 ДРАЖЕ;Санофи Индия Лимитед ;275;/product/festal-n40-drazhe-5e326b5aca7bdc000192e52a/
